list,item_no,sub_no,function,element1,element2,element3,element4,element5,element6
3,1,1,NAD,NO,KE,PU,BA,MÖ,MO
3,2,2,NAD,FA,KE,BO,NA,MÖ,MO
3,3,3,NAD,PU,KE,ME,NO,MÖ,BA
3,4,4,NAD,BA,KE,FA,GU,MÖ,MI
3,5,5,NAD,SU,KE,MO,BO,MÖ,FI
3,6,6,NAD,NA,KE,FA,ME,MÖ,SU
3,7,7,NAD,BA,KE,GU,MI,MÖ,SU
3,8,8,NAD,NO,KE,GU,MO,MÖ,NA
3,9,9,NAD,ME,KE,PU,FI,MÖ,FA
3,10,10,NAD,MI,KE,NO,FI,MÖ,ME
3,11,11,NAD,FI,KE,NA,BO,MÖ,SU
3,12,12,NAD,GU,KE,BO,MI,MÖ,PU
3,13,1,violation,SU,KE,MO,BO,FI,BA
3,14,2,violation,PU,KE,MO,SU,BA,MI
3,15,3,violation,ME,KE,NA,GU,BO,PU
3,16,4,violation,SU,KE,NA,FI,GU,FA
3,17,5,violation,MI,KE,BA,FA,PU,GU
3,18,6,violation,NO,KE,MI,GU,BO,FI
3,19,7,violation,NO,KE,MO,FA,GU,BO
3,20,8,violation,ME,KE,BO,FA,NA,FI
3,21,9,violation,BA,KE,FA,ME,PU,MI
3,22,10,violation,BA,KE,NO,SU,ME,NA
3,23,11,violation,MO,KE,NA,FI,NO,PU
3,24,12,violation,ME,KE,SU,MO,NO,MI
